LeftStim,RightStim,Reward,Choice,PrevChoice,Difficulty,Movement
0.000215862,0.145577154,0,0.456178659,0.136428235,0.254747651,0.006852439
0,0,0.217593043,0.422290279,0.360116679,0,0
0.554911446,0.121950526,0.120773509,0,0.179345818,0,0.0230187
0.102603039,0.088512197,0.362554112,0.283972721,0.149130411,0,0.013227521
0.210856934,0,0,0.183931228,0.073786265,0.531425572,0
0.170019052,0.328632902,0.364905677,0,0.097626834,0,0.038815535
0.020387959,0.379056122,0.21747203,0.383083889,0,0,0
0,0.183961477,0,0.429776484,0.139359037,0.246903003,0
0.070833001,0.006196342,0.019601515,0,0.00708259,0.871708803,0.024577749
0.501225711,0.135455909,0.358655461,0,0,0,0.004662919
0.033512315,0.002390075,0,0.391422628,0.059581199,0.510535157,0.002558626
0.023211682,0,0.334880518,0,0,0.6419078,0
0.224549352,0,0.560897211,0,0.123107355,0,0.091446082
0,0,0,0,0,0,1
0.291128248,0.303838108,0,0,0,0.264057168,0.140976476
0,0.059699038,0,0,0,0.940300962,0
0.231599554,0.167282342,0.447920632,0,0.009553917,0.1293526,0.014290955
0.271353959,0.164475178,0.541557293,0,0.02261357,0,0
0.426742681,0,0.515306452,0,0,0,0.057950868
0.069168612,0.276628348,0.414817134,0.233802911,0,0.005582994,0
